Date, node, time since harvest, inventory quantity 
2018-09-29,retailer,1,0.00
2018-09-29,retailer,0,0.00
2018-09-30,supplier,9,0.00
2018-09-30,supplier,8,0.00
2018-09-30,supplier,7,0.00
2018-09-30,supplier,6,0.00
2018-09-30,supplier,5,1.92
2018-09-30,supplier,4,1.47
2018-09-30,supplier,3,3.80
2018-09-30,supplier,2,0.00
2018-09-30,supplier,1,0.00
2018-09-30,supplier,0,0.00
2018-09-30,retailer,9,0.00
2018-09-30,retailer,8,2.96
2018-09-30,retailer,7,6.93
2018-09-30,retailer,6,5.90
2018-09-30,retailer,5,0.00
2018-09-30,retailer,4,0.00
2018-09-30,retailer,3,0.00
2018-09-30,retailer,2,0.00
2018-09-30,retailer,1,0.00
2018-09-30,retailer,0,0.00
2018-10-01,supplier,9,0.00
2018-10-01,supplier,8,0.00
2018-10-01,supplier,7,0.00
2018-10-01,supplier,6,0.00
2018-10-01,supplier,5,1.98
2018-10-01,supplier,4,2.99
2018-10-01,supplier,3,6.64
2018-10-01,supplier,2,0.00
2018-10-01,supplier,1,0.00
2018-10-01,supplier,0,0.00
2018-10-01,retailer,9,0.00
2018-10-01,retailer,8,3.55
2018-10-01,retailer,7,7.80
2018-10-01,retailer,6,4.98
2018-10-01,retailer,5,0.00
2018-10-01,retailer,4,0.00
2018-10-01,retailer,3,0.00
2018-10-01,retailer,2,0.00
2018-10-01,retailer,1,0.00
2018-10-01,retailer,0,0.00
2018-10-02,supplier,9,0.00
2018-10-02,supplier,8,0.00
2018-10-02,supplier,7,0.00
2018-10-02,supplier,6,0.00
2018-10-02,supplier,5,2.13
2018-10-02,supplier,4,4.30
2018-10-02,supplier,3,8.24
2018-10-02,supplier,2,0.00
2018-10-02,supplier,1,0.00
2018-10-02,supplier,0,0.00
2018-10-02,retailer,9,3.55
2018-10-02,retailer,8,8.46
2018-10-02,retailer,7,6.37
2018-10-02,retailer,6,2.92
2018-10-02,retailer,5,0.00
